Collection code,Call no.,iiif manifests,,,
csl,MS 10,https://iiif.archivelab.org/iiif/images_SutroCollectionMS10_12/manifest.json,,,
csl,MS 08,https://iiif.archivelab.org/iiif/images_SutroCollectionMS08_12/manifest.json,,,
csl,MS 07,https://iiif.archivelab.org/iiif/images_SutroCollectionMS07_12/manifest.json,,,
csl,MS 06,https://iiif.archivelab.org/iiif/images_SutroCollectionMS06_12/manifest.json,,,
csl,MS 05,https://iiif.archivelab.org/iiif/images_SutroCollectionMS05_12/manifest.json,,,
csl,MS 04,https://iiif.archivelab.org/iiif/images_SutroCollectionMS04_12/manifest.json,,,
csl,MS 02,https://iiif.archivelab.org/iiif/images_SutroCollectionMS02_12/manifest.json,,,
csl,MS 01,https://iiif.archivelab.org/iiif/images_SutroCollectionMS01_12/manifest.json,,,
csl,Italian Manuscripts 167,https://iiif.archivelab.org/iiif/images_SutroCollectionItalianManuscripts167_12/manifest.json,,,
csl,Italian Manuscripts 166,https://iiif.archivelab.org/iiif/images_SutroCollectionItalianManuscripts166_12/manifest.json,,,
csl,Italian Manuscripts 164,https://iiif.archivelab.org/iiif/images_SutroCollectionItalianManuscripts164_12/manifest.json,,,
csl,Italian Manuscripts 163,https://iiif.archivelab.org/iiif/images_SutroCollectionItalianManuscripts163_12/manifest.json,,,
csl,Italian Manuscripts 129,https://iiif.archivelab.org/iiif/images_SutroCollectionItalianManuscripts129_12/manifest.json,,,
csl,Italian Manuscripts 128,https://iiif.archivelab.org/iiif/images_SutroCollectionItalianManuscripts128_12/manifest.json,,,
csl,Italian Manuscripts 127,https://iiif.archivelab.org/iiif/images_SutroCollectionItalianManuscripts127_12/manifest.json,,,
csl,Italian Manuscripts 126,https://iiif.archivelab.org/iiif/images_SutroCollectionItalianManuscripts126_12/manifest.json,,,
csl,Italian Manuscripts 125,https://iiif.archivelab.org/iiif/images_SutroCollectionItalianManuscripts125_12/manifest.json,,,
csl,Italian Manuscripts 123,https://iiif.archivelab.org/iiif/images_SutroCollectionItalianManuscripts123_12/manifest.json,,,
csl,Italian Manuscripts 121,https://iiif.archivelab.org/iiif/images_SutroCollectionItalianManuscripts121_12/manifest.json,,,
csl,Italian Manuscripts 098,https://iiif.archivelab.org/iiif/images_SutroCollectionItalianManuscripts098_12/manifest.json,,,
csl,Italian Manuscripts 089,https://iiif.archivelab.org/iiif/images_SutroCollectionItalianManuscripts089_12/manifest.json,,,
csl,Italian Manuscripts 051,https://iiif.archivelab.org/iiif/images_SutroCollectionItalianManuscripts051_12/manifest.json,,,
csl,Italian Manuscripts 049,https://iiif.archivelab.org/iiif/images_SutroCollectionItalianManuscripts049_12/manifest.json,,,
csl,Italian Manuscripts 048,https://iiif.archivelab.org/iiif/images_SutroCollectionItalianManuscripts048_12/manifest.json,,,
csl,Italian Manuscripts 045,https://iiif.archivelab.org/iiif/images_SutroCollectionItalianManuscripts045_12/manifest.json,,,
csl,Italian Manuscripts 043,https://iiif.archivelab.org/iiif/images_SutroCollectionItalianManuscripts043_12/manifest.json,,,
csl,Italian Manuscripts 042,https://iiif.archivelab.org/iiif/images_SutroCollectionItalianManuscripts042_12/manifest.json,,,
csl,Italian Manuscripts 041,https://iiif.archivelab.org/iiif/images_SutroCollectionItalianManuscripts041_12/manifest.json,,,
csl,Italian Manuscripts 040,https://iiif.archivelab.org/iiif/images_SutroCollectionItalianManuscripts040_12/manifest.json,,,
csl,Italian Manuscripts 031,https://iiif.archivelab.org/iiif/images_SutroCollectionItalianManuscripts031_12/manifest.json,,,
csl,Italian Manuscripts 021,https://iiif.archivelab.org/iiif/images_SutroCollectionItalianManuscripts021_12/manifest.json,,,
csl,Halliwell Phillips MS 04,https://iiif.archivelab.org/iiif/images_SutroCollectionHalliwellPhillipsMS04_12/manifest.json,,,
csl,Halliwell Phillips MS 03,https://iiif.archivelab.org/iiif/images_SutroCollectionHalliwellPhillipsMS03_12/manifest.json,,,
csl,Halliwell Phillips MS 02,https://iiif.archivelab.org/iiif/images_SutroCollectionHalliwellPhillipsMS02_12/manifest.json,,,
csl,Halliwell Phillips MS 01,https://iiif.archivelab.org/iiif/images_SutroCollectionHalliwellPhillipsMS01_12/manifest.json,,,
csl,CSL v096 C3631,https://iiif.archivelab.org/iiif/images_CSLv096C3631_9/manifest.json,,,
csl,CSL v091 B29,https://iiif.archivelab.org/iiif/images_CSLv091B29_9/manifest.json,,,
conception,CA 43,https://iiif.archivelab.org/iiif/images_CA43_15/manifest.json,,,
conception,CA 42,https://iiif.archivelab.org/iiif/images_CA42_15/manifest.json,,,
conception,CA 41,https://iiif.archivelab.org/iiif/images_CA41_15/manifest.json,,,
conception,CA 40,https://iiif.archivelab.org/iiif/images_CA40_15/manifest.json,,,
conception,CA 39,https://iiif.archivelab.org/iiif/images_CA39_15/manifest.json,,,
conception,CA 38,https://iiif.archivelab.org/iiif/images_CA38_15/manifest.json,,,
conception,CA 37,https://iiif.archivelab.org/iiif/images_CA37_15/manifest.json,,,
conception,CA 36,https://iiif.archivelab.org/iiif/images_CA36_15/manifest.json,,,
conception,CA 35,https://iiif.archivelab.org/iiif/images_CA35_15/manifest.json,,,
conception,CA 34,https://iiif.archivelab.org/iiif/images_CA34_15/manifest.json,,,
conception,CA 33,https://iiif.archivelab.org/iiif/images_CA33_15/manifest.json,,,
conception,CA 31,https://iiif.archivelab.org/iiif/images_CA31_15/manifest.json,,,
conception,CA 30,https://iiif.archivelab.org/iiif/images_CA30_15/manifest.json,,,
conception,CA 29,https://iiif.archivelab.org/iiif/images_CA29_15/manifest.json,,,
conception,CA 28,https://iiif.archivelab.org/iiif/images_CA28_15/manifest.json,,,
conception,CA 26,https://iiif.archivelab.org/iiif/images_CA26_15/manifest.json,,,
