contributor_wikidata_qid,contributor_name,source_type,filename,call_number,title,ds_id,marc_001,catalog_id,catalog_id_field,marc_005,institutional_record_date,catalog_url,iiif_manifest,generated_at
Q49117,University of Pennsylvania,marc-xml,9914691793503681.xml,Ms. Codex 21,al-Fatḥ al-rabbānī fīmā dhahala ʻanhu al-Zurqānī,"",9914691793503681,"","",20190410085834.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9914691793503681,https://colenda.library.upenn.edu/phalt/iiif/2//manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9914691813503681.xml,Ms. Codex 23,Sharḥ Mukhtaṣar ʻalá Alfīyat Ibn Mālik,"",9914691813503681,"","",20210929170140.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9914691813503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p31j97f2x/manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9914691823503681.xml,Ms. Codex 24,al-Juzʼ al-thalāthūn,"",9914691823503681,"","",20210929170206.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9914691823503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3gh9bg67/manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9914691833503681.xml,Oversize Ms. Codex 25,Tanbīh al-ghāfilīn wa-īḍāḥ sabīl al-murshidīn,"",9914691833503681,"","",20210929170138.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9914691833503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3ws8hs7x/manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9914691863503681.xml,Oversize Ms. Codex 28,Tarjumah-ʼi khuṭab-i arbaʻīn,"",9914691863503681,"","",20210929170201.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9914691863503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3r49gg53/manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9914696393503681.xml,Ms. Codex 40,al-Fatḥ al-rabbānī fīmā dhahala ʻanhu al-Zurqānī,"",9914696393503681,"","",20210929170203.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9914696393503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3fb4ws7f/manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9914696403503681.xml,Ms. Codex 41,Taḥrīr al-qawāʻid al-manṭiqīyah fī sharḥ al-Risālah al-Shamsīyah,"",9914696403503681,"","",20210929170135.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9914696403503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3707wv6p/manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9914696413503681.xml,Oversize Ms. Codex 42,Kāfiyat al-ṭālib al-rabbānī li-Risālat Ibn Abī Zayd al-Qayrawānī. Fatḥ al-mannān ʻalá naẓm mawrid al-ẓamʼān,"",9914696413503681,"","",20210929170141.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9914696413503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3377622b/manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9914696423503681.xml,Oversize Ms. Codex 43,Manhaj al-ʻilm wa-al-bayān wa-nuzhat al-samʻ wa-al-aʻyān,"",9914696423503681,"","",20210929170136.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9914696423503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3mg7g24p/manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9914696433503681.xml,Ms. Codex 44,Dalāʼil al-khayrāt... etc,"",9914696433503681,"","",20210929170207.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9914696433503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3zg6gd7b/manifest,2023-01-23T18:08:05-05:00
