filename,marc_001,institutional_id,marc_005,institutional_record_date,call_number,title,iiif_manifest,catalog_url,generated_at
ds_50_40_00153466.xml,,Poole 32,,2011-11-06T01:16:10,Poole 32,Homiliae in Evangelia; Homilies on the Gospels,"","",2023-01-12T17:53:29-05:00
ds_50_40_00153467.xml,,Ricketts 177,,2011-11-06T01:17:16,Ricketts 177,Historia Ecclesiastica Gentis Anglorum,"","",2023-01-12T17:53:29-05:00
ds_50_40_00153468.xml,,Ricketts 157,,2011-11-06T01:18:21,Ricketts 157,Excerpta ex operibus Sancti Augustini; Quod unigentius dei filius propter formam servi minor patri dicatur qui informa dei aequalis est patri ex eodem de trinitate libro primo titulo viii.; Florigelium,"","",2023-01-12T17:53:29-05:00
ds_50_40_00153469.xml,,Poole 27,,2011-11-06T01:18:58,Poole 27,"Legenda S. Martini episcopi Et S. Bricii Turonensii Episcopi; Life of Saint Martin; Saint's Life; Letter to Eusebius; Epistle; Letter to Aurelius; Epistle; Letter to Bassula; Epistle; Dialogi; Historia Francorum extracts; History; De Virtutibus S. Martini; Book I, 4,5,6; Saint's Life; Historia Francorum extract:Life of Saint Brictius of Tours; History; Tituli Metrici de S.o Martino or Sylloge Epigraphica Turonensis de Sancto Martino; Verses about Saint Martin; De Trinitate; Formata ut conmendata; Letters of introduction; Office of Saint Emmeram; Liturgical Office","","",2023-01-12T17:53:29-05:00
ds_50_40_00153470.xml,,Poole 30,,2011-11-06T01:21:09,Poole 30,"De origine rerum; Rabanus de origine rerum; Bible, Tours; Bible, Tours","","",2023-01-12T17:53:29-05:00
ds_50_40_00153471.xml,,Poole 133,,2011-11-06T01:22:43,Poole 133,Inscription; Inscription,"","",2023-01-12T17:53:29-05:00
ds_50_40_00153472.xml,,Poole 82,,2011-11-06T01:23:47,Poole 82,Compendium in Cantica canticorum; Commentary,"","",2023-01-12T17:53:29-05:00
ds_50_40_00153473.xml,,Poole 38,,2011-11-06T01:24:52,Poole 38,Homilarium; Homilia Bede in fest Annunciationis; Homily,"","",2023-01-12T17:53:29-05:00
ds_50_40_00153474.xml,,Poole 41,,2011-11-06T01:26:55,Poole 41,Massbook,"","",2023-01-12T17:53:29-05:00
ds_50_40_00153475.xml,,Poole 40,,2011-11-06T01:27:37,Poole 40,Lives of the Saints; III. KLS. Augusti. Passio; Saints lives,"","",2023-01-12T17:53:29-05:00
ds_50_40_00153476.xml,,Medieval and Renaissance 2,,2011-11-06T01:28:42,Medieval and Renaissance 2,Excerptiones de arte grammatica; Grammar,"","",2023-01-12T17:53:29-05:00
ds_50_40_00153477.xml,,Poole 19,,2011-11-06T01:29:24,Poole 19,Psalter,"","",2023-01-12T17:53:29-05:00
ds_50_40_00153478.xml,,Ricketts 162,,2011-11-06T01:30:30,Ricketts 162,Sidonius Apollinaris to Agricola; Letter; De vera religione; De verbis apostolis; De heresis adversus chirstainum fidem; De haeresibus; De haeresibus; Quotations,"","",2023-01-12T17:53:29-05:00
ds_50_40_00153479.xml,,Ricketts H: 21,,2011-11-06T01:31:15,Ricketts H: 21,"Bible, Atlantic Bible","","",2023-01-12T17:53:29-05:00
ds_50_40_00153480.xml,,Ricketts 191,,2011-11-06T01:32:20,Ricketts 191,"Alphabet; De arca Noe morali et mystica; hugonis canonici sancti victoris parisiensis de archa noe pro archa sapientiae cum archa ecclesiae de arch matris gratiae liber primus incipit; Letter to Hugh of St. Victor, refuting Arnulph; Letter to Master William the monk on baptism; Letter to all Christians on the mystery of the incarnation; Letter","","",2023-01-12T17:53:29-05:00
ds_50_40_00153481.xml,,Poole 102,,2011-11-06T01:32:55,Poole 102,De duodecim abusionibus saeculi; De rota verae et falsae religionis; Incipit prefatio magistri hugonis in libro de rota vere religionis,"","",2023-01-12T17:53:29-05:00
ds_50_40_00153482.xml,,Poole 18,,2014-08-26T11:08:20,Poole 18,De vita contemplativa et activa; Sententia ex Augustino delibitae; Confessio; De conceptu virginali et de originali peccatu; De processione Spiritus sancti; Epitaphium petri comestoris; Epitaph; Epitaphium Comitis henrici; Epitaph,"","",2023-01-12T17:53:29-05:00
ds_50_40_00153483.xml,,Ricketts 205,,2011-11-06T01:34:44,Ricketts 205,Decretumor Concordantia discordantium canonum,"","",2023-01-12T17:53:29-05:00
ds_50_40_00153484.xml,,Poole 136,,2011-11-06T01:35:18,Poole 136,Media Glossatura in Epistolas Pauli; Biblical Commentary,"","",2023-01-12T17:53:29-05:00
ds_50_40_00153485.xml,,Poole 98,,2011-11-06T01:36:43,Poole 98,Magna Glossatura in Epistolas Pauli; Biblical Commentary,"","",2023-01-12T17:53:29-05:00
ds_50_40_00153486.xml,,Ricketts 193,,2011-11-06T01:37:16,Ricketts 193,Historia Scholastica; Incipit summa magistri petri manducatoris super literam in lucam; Biblical History,"","",2023-01-12T17:53:29-05:00
ds_50_40_00153487.xml,,Poole 39,,2011-11-06T01:38:40,Poole 39,Gregorialis; Anthology,"","",2023-01-12T17:53:29-05:00
ds_50_40_00153488.xml,,Ricketts 2,,2011-11-06T01:39:11,Ricketts 2,"Giant Bible, Atlantic Bible","","",2023-01-12T17:53:29-05:00
ds_50_40_00153489.xml,,Ricketts C: 3,,2011-11-06T01:39:42,Ricketts C: 3,Incipit epistola secundi Johannis prima ad parthos; Bible,"","",2023-01-12T17:53:29-05:00
ds_50_40_00153490.xml,,Medieval and Renaissance 14,,2011-11-06T01:40:01,Medieval and Renaissance 14,"Satires; Describit iter suum ad brundisi, sermo Vus","","",2023-01-12T17:53:29-05:00
ds_50_40_00153491.xml,,Ricketts 20,,2011-11-06T01:40:32,Ricketts 20,Magna Glossatura in Psalmost,"","",2023-01-12T17:53:29-05:00
ds_50_40_00153492.xml,,Ricketts 9,,2011-11-06T01:41:27,Ricketts 9,Acts; Canonical Epistles; Apocalypse,"","",2023-01-12T17:53:29-05:00
ds_50_40_00153493.xml,,Medieval and Renaissance 15,,2011-11-06T01:41:47,Medieval and Renaissance 15,"Liber gestorum barlaam et Josaphat; Incipit liber gestorum Barlaam & Iosaphat servorum dei, editus greco sermone a iohanne damasceno; Table of Contents","","",2023-01-12T17:53:29-05:00
ds_50_40_00153494.xml,,Ricketts C: 1,,2011-11-06T01:42:18,Ricketts C: 1,"Bible, N.T.","","",2023-01-12T17:53:29-05:00
ds_50_40_00153495.xml,,Ricketts 189,,2011-11-06T01:42:37,Ricketts 189,Table of Contents; Vitae sanctorum; Incipit vita beati Materni Coloniensis Archiepiscopi; Saints Lives,"","",2023-01-12T17:53:29-05:00
ds_50_40_00153496.xml,,Ricketts 12,,2011-11-06T01:42:56,Ricketts 12,Bible,"","",2023-01-12T17:53:29-05:00
ds_50_40_00153497.xml,,Ricketts III: 53,,2011-11-06T01:43:52,Ricketts III: 53,"Bible, N.T., Numbers; Bible, N.T., Ezekiel; Bible, N.T., Luke; Bible, N.T., Acts; Bible, N.T., Revelations","","",2023-01-12T17:53:29-05:00
ds_50_40_00153498.xml,,Ricketts III: 25,,2011-11-06T01:44:13,Ricketts III: 25,"Bible, N.T., Timothy","","",2023-01-12T17:53:29-05:00
ds_50_40_00153499.xml,,Ricketts 215,,2011-11-06T01:44:31,Ricketts 215,de memoria et reminiscentia; de somno et vigilia; Explicit liber de memoria & reminiscentia. Incipit liber de sompno & vigilia,"","",2023-01-12T17:53:29-05:00
ds_50_40_00153500.xml,,Ege 15,,2011-11-06T01:44:51,Ege 15,Missal,"","",2023-01-12T17:53:29-05:00
ds_50_40_00153501.xml,,Ricketts 79,,2016-02-22T11:24:27,Ricketts 79,Antiphonal,"","",2023-01-12T17:53:29-05:00
ds_50_40_00153502.xml,,Ricketts 86,,2011-11-06T01:45:27,Ricketts 86,"Antiphonary, Dominican use","","",2023-01-12T17:53:29-05:00
ds_50_40_00153503.xml,,Medieval and Renaissance 47,,2011-11-06T01:46:23,Medieval and Renaissance 47,Book of Hours,"","",2023-01-12T17:53:29-05:00
ds_50_40_00153504.xml,,Poole 8,,2011-11-06T01:46:54,Poole 8,Bible,"","",2023-01-12T17:53:29-05:00
ds_50_40_00153505.xml,,Medieval and Renaissance 46,,2011-11-06T01:47:37,Medieval and Renaissance 46,Lectura super Codicem; Law Codex,"","",2023-01-12T17:53:29-05:00
ds_50_40_00153506.xml,,Ricketts 206,,2011-11-06T01:48:21,Ricketts 206,Apparatus in quinque libros Decretalium; Glossed Canon Law,"","",2023-01-12T17:53:29-05:00
ds_50_40_00153507.xml,,Ricketts 47,,2011-11-06T01:48:40,Ricketts 47,"Breviary, Psalter","","",2023-01-12T17:53:29-05:00
ds_50_40_00153508.xml,,Ricketts 23,,2011-11-06T01:48:58,Ricketts 23,"Breviary, Psalter","","",2023-01-12T17:53:29-05:00
ds_50_40_00153509.xml,,Ricketts K: 8,,2011-11-06T01:49:03,Ricketts K: 8,"","","",2023-01-12T17:53:29-05:00
ds_50_40_00153510.xml,,Ricketts 19,,2011-11-06T01:49:22,Ricketts 19,"","","",2023-01-12T17:53:29-05:00
ds_50_40_00153511.xml,,Gottfried Mss.,,2011-11-06T01:49:40,Gottfried Mss.,Hours of the Virgin; Book of Hours,"","",2023-01-12T17:53:29-05:00
ds_50_40_00153512.xml,,Poole 16,,2011-11-06T01:49:58,Poole 16,De intellectu; Breviary; Missale estivalis quem comparavit Johannes laicus de rastorf quondam mrg’ coq’ne felicis memorie qui obit in vigilia s. margarethe ac cuius anniversarium datur dominis xxx solidi annuatim ad caritatem.; Summer Missale,"","",2023-01-12T17:53:29-05:00
ds_50_40_00153513.xml,,Medieval and Renaissance 48,,2011-11-06T01:50:31,Medieval and Renaissance 48,Väterbuch; Lives of the fathers,"","",2023-01-12T17:53:29-05:00
ds_50_40_00153514.xml,,Ricketts 15,,2011-11-06T01:51:27,Ricketts 15,Bohun Bible; Bible,"","",2023-01-12T17:53:29-05:00
ds_50_40_00153515.xml,,Ricketts 24,,2011-11-06T01:51:58,Ricketts 24,Psalter; Rhyming verse; Psalter of the Virgin; Psalter of the Virgin; Psalter of the Virgin,"","",2023-01-12T17:53:29-05:00
ds_50_40_00153516.xml,,Ricketts K: 4,,2011-11-06T01:52:45,Ricketts K: 4,Gradual,"","",2023-01-12T17:53:29-05:00
ds_50_40_00153517.xml,,Ricketts 63,,2011-11-06T01:53:03,Ricketts 63,Missal,"","",2023-01-12T17:53:29-05:00
ds_50_40_00153518.xml,,Ricketts 65,,2011-11-06T01:53:47,Ricketts 65,Pontifical and Missal,"","",2023-01-12T17:53:29-05:00
ds_50_40_00153519.xml,,Ricketts L: 3,,2011-11-06T01:55:32,Ricketts L: 3,Gradual,"","",2023-01-12T17:53:29-05:00
