aat_id,label,number
http://vocab.getty.edu/aat/300404465,fifteenth century (dates CE),15
http://vocab.getty.edu/aat/300404493,first century (dates CE),1
http://vocab.getty.edu/aat/300404494,second century (dates CE),2
http://vocab.getty.edu/aat/300404495,third century (dates CE),3
http://vocab.getty.edu/aat/300404496,fourth century (dates CE),4
http://vocab.getty.edu/aat/300404497,fifth century (dates CE),5
http://vocab.getty.edu/aat/300404498,sixth century (dates CE),6
http://vocab.getty.edu/aat/300404499,seventh century (dates CE),7
http://vocab.getty.edu/aat/300404500,eighth century (dates CE),8
http://vocab.getty.edu/aat/300404501,ninth century (dates CE),9
http://vocab.getty.edu/aat/300404502,tenth century (dates CE),10
http://vocab.getty.edu/aat/300404503,eleventh century (dates CE),11
http://vocab.getty.edu/aat/300404504,twelfth century (dates CE),12
http://vocab.getty.edu/aat/300404505,thirteenth century (dates CE),13
http://vocab.getty.edu/aat/300404506,fourteenth century (dates CE),14
http://vocab.getty.edu/aat/300404510,sixteenth century (dates CE),16
http://vocab.getty.edu/aat/300404511,seventeenth century (dates CE),17
http://vocab.getty.edu/aat/300404512,eighteenth century (dates CE),18
http://vocab.getty.edu/aat/300404513,nineteenth century (dates CE),19
http://vocab.getty.edu/aat/300404514,twentieth century (dates CE),20
http://vocab.getty.edu/aat/300404515,twenty-first century (dates CE),21
http://vocab.getty.edu/aat/300404516,twenty-third century (dates CE),23
http://vocab.getty.edu/aat/300404517,twenty-second century (dates CE),22
http://vocab.getty.edu/aat/300404518,first century BCE,-1
http://vocab.getty.edu/aat/300404522,second century BCE,-2
http://vocab.getty.edu/aat/300404523,third century BCE,-3
http://vocab.getty.edu/aat/300404524,fourth century BCE,-4
http://vocab.getty.edu/aat/300404525,fifth century BCE,-5
http://vocab.getty.edu/aat/300404526,sixth century BCE,-6
http://vocab.getty.edu/aat/300404527,seventh century BCE,-7
http://vocab.getty.edu/aat/300404528,eighth century BCE,-8
http://vocab.getty.edu/aat/300404529,ninth century BCE,-9
http://vocab.getty.edu/aat/300404530,tenth century BCE,-10
http://vocab.getty.edu/aat/300404531,eleventh century BCE,-11
http://vocab.getty.edu/aat/300404532,twelfth century BCE,-12
http://vocab.getty.edu/aat/300404533,thirteenth century BCE,-13
http://vocab.getty.edu/aat/300404534,fourteenth century BCE,-14
http://vocab.getty.edu/aat/300404535,fifteenth century BCE,-15
http://vocab.getty.edu/aat/300404536,sixteenth century BCE,-16
http://vocab.getty.edu/aat/300404537,seventeenth century BCE,-17
http://vocab.getty.edu/aat/300404538,eighteenth century BCE,-18
http://vocab.getty.edu/aat/300404539,nineteenth century BCE,-19
http://vocab.getty.edu/aat/300404540,twentieth century BCE,-20
http://vocab.getty.edu/aat/300404541,twenty-first century BCE,-21
http://vocab.getty.edu/aat/300404542,twenty-second century BCE,-22
http://vocab.getty.edu/aat/300404543,twenty-third century BCE,-23
http://vocab.getty.edu/aat/300404544,twenty-fourth century BCE,-24
http://vocab.getty.edu/aat/300404545,twenty-fifth century BCE,-25
http://vocab.getty.edu/aat/300404546,twenty-sixth century BCE,-26
http://vocab.getty.edu/aat/300404547,twenty-seventh century BCE,-27
http://vocab.getty.edu/aat/300404548,twenty-eighth century BCE,-28
http://vocab.getty.edu/aat/300404549,twenty-ninth century BCE,-29
http://vocab.getty.edu/aat/300404550,first millennium (dates CE),1000
http://vocab.getty.edu/aat/300404551,second millennium (dates CE),2000
http://vocab.getty.edu/aat/300404552,third millennium (dates CE),3000
http://vocab.getty.edu/aat/300404553,second millennium BCE,-2000
http://vocab.getty.edu/aat/300404554,first millennium BCE,-1000
http://vocab.getty.edu/aat/300404555,third millennium BCE,-3000
http://vocab.getty.edu/aat/300404556,fourth millennium BCE,-4000
http://vocab.getty.edu/aat/300404557,fifth millennium BCE,-5000
http://vocab.getty.edu/aat/300404558,sixth millennium BCE,-6000
http://vocab.getty.edu/aat/300404559,seventh millennium BCE,-7000
http://vocab.getty.edu/aat/300404560,eighth millennium BCE,-8000
http://vocab.getty.edu/aat/300404561,ninth millennium BCE,-9000
http://vocab.getty.edu/aat/300404562,tenth millennium BCE,-10000
http://vocab.getty.edu/aat/300404563,eleventh millennium BCE,-11000
http://vocab.getty.edu/aat/300404564,twelfth millennium BCE,-12000
http://vocab.getty.edu/aat/300404565,thirteenth millennium BCE,-13000
http://vocab.getty.edu/aat/300404566,fourteenth millennium BCE,-14000
http://vocab.getty.edu/aat/300404567,fifteenth millennium BCE,-15000
