genre_as_recorded,vocabulary,source_authority_uri,authorized_label,structured_value,ds_qid
Agreements,aat,,agreements,http://vocab.getty.edu/aat/300027628,
Anecdotes,fast,(OCoLC)fst01423876,Anecdotes,http://id.worldcat.org/fast/1423876,
Annotations (Provenance),rbprov,,Annotations,http://id.loc.gov/vocabulary/rbmscv/cv00102,
Anthologies,aat,,anthologies,http://vocab.getty.edu/aat/300026037,
Antiphonaries (Service books),lcgft,,Antiphonaries (Service books),http://id.worldcat.org/fast/1920004,
Arabic scripts,aat,,Arabic scripts,http://vocab.getty.edu/aat/300208615,
Autographs,rbmscv,,Autographs,http://id.loc.gov/vocabulary/rbmscv/cv00177,
Biographies (literary works),aat,,biographies (literary works),http://vocab.getty.edu/aat/300080102,
Blocked bindings,rbmscv,,Blocked bindings,http://id.loc.gov/vocabulary/rbmscv/cv00438,
Bookplates (Provenance),openn-form/genre,,Bookplates,http://id.loc.gov/vocabulary/rbmscv/cv00138,
Booksellers' copies,rbmscv,,Booksellers' copies,http://id.loc.gov/vocabulary/rbmscv/cv00150,
Bullae (seals),aat,,bullae (seals),http://vocab.getty.edu/aat/300266223,
Calf bindings (Binding)--17th century,rbbin,,Calf bindings;Seventeenth century,http://id.loc.gov/vocabulary/rbmscv/cv00454;http://id.worldcat.org/fast/1113663,
Caroline minuscule,aat,,Caroline minuscule,http://vocab.getty.edu/aat/300195207,
Catchplates,lobt,,Catchplates,https://www.ligatus.org.uk/lob/concept/1244,
Champlevé--Great Britain--16th century,aat,,champlevé;Great Britain;Sixteenth century,http://vocab.getty.edu/aat/300053777;http://id.worldcat.org/fast/1204623;http://id.worldcat.org/fast/1119851,
Civil court records,aat,,civil court records,http://vocab.getty.edu/aat/300027866,
Clasp straps,lobt,,Clasp straps,https://www.ligatus.org.uk/lob/concept/2858,
Cookbooks,aat,,cookbooks,http://vocab.getty.edu/aat/300026109,
