material_as_recorded,authorized_label,structured_value
materials description,parchment;paper,http://vocab.getty.edu/aat/300014109;http://vocab.getty.edu/aat/300011851
"""fine vellum""",parchment,http://vocab.getty.edu/aat/300011851
"""paper, color illustrations, coats of arms""",paper,http://vocab.getty.edu/aat/300014109
"""paper, color illustrations""",paper,http://vocab.getty.edu/aat/300014109
"""paper, ill., charts""",paper,http://vocab.getty.edu/aat/300014109
"""paper, ill., maps, diagrams""",paper,http://vocab.getty.edu/aat/300014109
"""paper, ill., music""",paper,http://vocab.getty.edu/aat/300014109
"""paper, illumination""",paper,http://vocab.getty.edu/aat/300014109
"""paper, illuminations, maps, charts""",paper,http://vocab.getty.edu/aat/300014109
"""paper, orn: initial with crude profile""",paper,http://vocab.getty.edu/aat/300014109
"""paper, seals""",paper,http://vocab.getty.edu/aat/300014109
"""paper ; 205 x 145 (150-160 x 90) mm. bound to 204 x 152 mm""",paper,http://vocab.getty.edu/aat/300014109
"""paper ; 210 x 152 (140 x 90) mm. bound to 208 x 160 mm""",paper,http://vocab.getty.edu/aat/300014109
"""paper and parchment""",paper;parchment,http://vocab.getty.edu/aat/300014109;http://vocab.getty.edu/aat/300011851
"""parchment, color illustrations, maps""",parchment,http://vocab.getty.edu/aat/300011851
"""parchment, illustration""",parchment,http://vocab.getty.edu/aat/300011851
"""parchment (9 paper)""",parchment;paper,http://vocab.getty.edu/aat/300011851;http://vocab.getty.edu/aat/300014109
"""parchment and paper, color illustrations, music""",parchment;paper,http://vocab.getty.edu/aat/300011851;http://vocab.getty.edu/aat/300014109
"""parchment and paper, color illustrations""",parchment;paper,http://vocab.getty.edu/aat/300011851;http://vocab.getty.edu/aat/300014109
"""vellulm""",parchment,http://vocab.getty.edu/aat/300011851
"[""embroidered silk over parchment""]",silk;parchment,http://vocab.getty.edu/aat/300243428;http://vocab.getty.edu/aat/300011851
"[""fine vellum""]",parchment,http://vocab.getty.edu/aat/300011851
"[""paper, ill., charts""]",paper,http://vocab.getty.edu/aat/300014109
"[""paper, illuminations""]",paper,http://vocab.getty.edu/aat/300014109
"[""paper, seals""]",paper,http://vocab.getty.edu/aat/300014109
"[""paper ; 209 x 152 (163 x 115) mm. bound to 207 x 153 mm""]",paper,http://vocab.getty.edu/aat/300014109
"[""paper.""]",paper,http://vocab.getty.edu/aat/300014109
"[""Paper""]",paper,http://vocab.getty.edu/aat/300014109
"[""paper and parchment, illuminations""]",paper;parchment,http://vocab.getty.edu/aat/300014109;http://vocab.getty.edu/aat/300011851
"[""paper illustrations""]",paper,http://vocab.getty.edu/aat/300014109
"[""parchment, coats of arms""]",parchment,http://vocab.getty.edu/aat/300011851
"[""parchment, color illustrations, coats of arms""]",parchment,http://vocab.getty.edu/aat/300011851
"[""parchment, color illustrations""]",parchment,http://vocab.getty.edu/aat/300011851
"[""parchment, ill""]",parchment,http://vocab.getty.edu/aat/300011851
"[""parchment, illuminated, miniatures""]",parchment,http://vocab.getty.edu/aat/300011851
"[""parchment, music (diastematic neumes)""]",parchment,http://vocab.getty.edu/aat/300011851
"[""parchment, orn, decorated initials""]",parchment,http://vocab.getty.edu/aat/300011851
"[""parchment, orn, illustrations""]",parchment,http://vocab.getty.edu/aat/300011851
"[""parchment, ornamented initial, penwork""]",parchment,http://vocab.getty.edu/aat/300011851
