place_as_recorded,authorized_label,structured_value
"[Suffolk, England] :",Suffolk;England,http://vocab.getty.edu/tgn/7008185;http://vocab.getty.edu/tgn/7002445
Arles,Arles,http://vocab.getty.edu/tgn/7008775
"Ashybuen, Ancrum, Roxburghshire,",Ancrum;Roxburghshire,http://vocab.getty.edu/tgn/1050378;http://vocab.getty.edu/tgn/7448522
"Augsburg, Germany",Augsburg;Germany,http://vocab.getty.edu/tgn/7004324;http://vocab.getty.edu/tgn/7000084
"Augsburg?, Germany",Augsburg;Germany,http://vocab.getty.edu/tgn/7004324;http://vocab.getty.edu/tgn/7000084
Austria?,Austria,http://vocab.getty.edu/tgn/1000062
"Bavaria, Germany",Bavaria;Germany,http://vocab.getty.edu/tgn/7003669;http://vocab.getty.edu/tgn/7000084
Bayt al-Faqīh Yemen,Bayt al Faqīh,http://vocab.getty.edu/tgn/1087306
"Belgium; Italy, Ghent and Italy",Belgium;Italy;Ghent,http://vocab.getty.edu/tgn/1000063;http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7007887
"Bohemia (Czech Republic), Bohemia",Bohemia;Czech Republic,http://vocab.getty.edu/tgn/7006470;http://vocab.getty.edu/tgn/1001780
"Bruges, Belgium",Bruges;Belgium,http://vocab.getty.edu/tgn/7007867;http://vocab.getty.edu/tgn/1000063
Brūsā,Bursa,http://vocab.getty.edu/tgn/7002420
"Brussels, Flanders",Brussels;Flanders,http://vocab.getty.edu/tgn/7007868;http://vocab.getty.edu/tgn/7024097
"Burgundy?, France",Burgundy;France,http://vocab.getty.edu/tgn/7029372;http://vocab.getty.edu/tgn/1000070
Burgundy (France),Burgundy;France,http://vocab.getty.edu/tgn/7029372;http://vocab.getty.edu/tgn/1000070
"Central America, Central America",Central America,http://vocab.getty.edu/tgn/7016739
China,China,http://vocab.getty.edu/tgn/1000111
Cremona,Cremona,http://vocab.getty.edu/tgn/7005868
"Cuijk?, Netherlands",Cuyk;Netherlands,http://vocab.getty.edu/tgn/7006847;http://vocab.getty.edu/tgn/7016845
Dār al-Sulṭān al-ʻAlīyah Istanbul,Istanbul,http://vocab.getty.edu/tgn/7002473
Écija (Andalusia),Écija;Andalusia,http://vocab.getty.edu/tgn/7007091;http://vocab.getty.edu/tgn/7024275
"Egypt, Iraq, or Syria",Egypt;Iraq;Syria,http://vocab.getty.edu/tgn/7016833;http://vocab.getty.edu/tgn/1000118;http://vocab.getty.edu/tgn/1000140
Egypt or Syria,Egypt;Syria,http://vocab.getty.edu/tgn/7016833;http://vocab.getty.edu/tgn/1000140
England,England,http://vocab.getty.edu/tgn/7002445
"England, Buckinghamshire",England;Buckinghamshire,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7008104
"England, England",England,http://vocab.getty.edu/tgn/7002445
"England, Nottinghamshire",England;Nottinghamshire,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7008167
"England, West Midlands, England",England;West Midlands,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7029506
"England, Yorkshire",England;Yorkshire,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7008171
England? Wales?,England;Wales,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7002443
England (Wiltshire?),England;Wiltshire,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/7008180
"Flanders, Belgium",Flanders;Belgium,http://vocab.getty.edu/tgn/7024097;http://vocab.getty.edu/tgn/1000063
"France, Anjou",France;Anjou,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7017069
"France, Anjou?",France;Anjou,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7017069
"France, France (Arles?)",France;Arles,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7008775
"France, France (Southern France?)",France;Southern France,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/4004037
France (Paris?),France;Paris,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7008038
"Germany, Amorbach",Germany;Amorbach,http://vocab.getty.edu/tgn/7000084;http://vocab.getty.edu/tgn/7005993
"Germany, Bavaria",Germany;Bavaria,http://vocab.getty.edu/tgn/7000084;http://vocab.getty.edu/tgn/7003669
"Germany, Bohemia",Germany;Bohemia,http://vocab.getty.edu/tgn/7000084;http://vocab.getty.edu/tgn/7006470
"Germany, Mainz (?)",Germany;Mainz,http://vocab.getty.edu/tgn/7000084;http://vocab.getty.edu/tgn/7004449
"Germany, Southern Germany?",Germany;South Germany,http://vocab.getty.edu/tgn/7000084;http://vocab.getty.edu/tgn/4004316
Germany? Austria,Germany;Austria,http://vocab.getty.edu/tgn/7000084;http://vocab.getty.edu/tgn/1000062
Germany (?),Germany,http://vocab.getty.edu/tgn/7000084
Germany or Austria,Germany;Austria,http://vocab.getty.edu/tgn/7000084;http://vocab.getty.edu/tgn/1000062
Germany or England,Germany;England,http://vocab.getty.edu/tgn/7000084;http://vocab.getty.edu/tgn/7002445
Germany or Netherlan,Germany;Netherlands,http://vocab.getty.edu/tgn/7000084;http://vocab.getty.edu/tgn/7016845
"Greece, Melos","Greece;Mílos, Nísos",http://vocab.getty.edu/tgn/1000074;http://vocab.getty.edu/tgn/7010922
Istanbul,Istanbul,http://vocab.getty.edu/tgn/7002473
"Italy, central",Italy,http://vocab.getty.edu/tgn/1000080
"Italy, Italy; France",Italy;France,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/1000070
"Italy, Italy (perhaps Padua)",Italy;Padua,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7003085
"Italy, Italy (Pisa?)",Italy;Pisa,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7006082
"Italy, Italy (Venice?)",Italy;Venice,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7018159
"Italy, Puglia",Italy;Apulia,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7010380
"Italy, Tuscany?",Italy;Tuscany,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7009760
"Italy, Umbria?",Italy;Umbria,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7003125
"Italy, Valdaosta",Italy;Aosta Valley,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7003126
"Italy, Veneto ?",Italy;Veneto,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7002997
Italy ?,Italy,http://vocab.getty.edu/tgn/1000080
Italy / Friuli,Italy;Friuli,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7008895
Italy / Tuscan,Italy;Tuscany,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7009760
Italy (Rome),Italy;Rome,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7000874
Italy and England,Italy;England,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7002445
Italy or S. France,Italy;Southern France,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/4004037
Kaisaria,Kayseri,http://vocab.getty.edu/tgn/7002465
"Kestenholtz that is, Châtenois, France",Châtenois;France,http://vocab.getty.edu/tgn/1032520;http://vocab.getty.edu/tgn/1000070
Lahore,Lahore,http://vocab.getty.edu/tgn/7001560
"Lārandah, Qaramān",Karaman;Karaman (province),http://vocab.getty.edu/tgn/7002550;http://vocab.getty.edu/tgn/7018458
Lombardy,Lombardy,http://vocab.getty.edu/tgn/7003237
