as_recorded,authorized_label
"152 x 112 (73 cx 65) mm.: Ms.|152 x 112 (73 cx 65) mm.: In Latin. Written in lettre batarde.|152 x 112 (73 cx 65) mm.: Numerous decorated initials (1 and 2 lines) in burnished gold and red and blue. Eight pages have a full floral border in burnished and flat gold and colors.|152 x 112 (73 cx 65) mm.: Later manuscript notes and inscriptions (16th and 17th centuries), including 8 pages at end, relating to the family of Jehan Baptiste de Villebuchot.|152 x 112 (73 cx 65) mm.: Binding: contemporary full brown calf (rebacked), with blind tooled strapwork border and a frame of a repeated stamp of the Virgin and child enclosing a pattern of ruled lozenges and small floral stamps.|152 x 112 (73 cx 65) mm.: Contents: ff. i-iv verso: blank; ff. 1-12v: calendar (in French), Use of Cambrai; ff. 13-13v: blank; ff. 14-16v: Prayer of the Duke of Burgundy: ""Oracio domini ducis Burgondie qui debet dici cothidie et est valde devote et pulcherrima et est scripta per manus domini de Burgondia sui primi philozophi et est talis/ Domine sancte pater omnipotens eterne deus qui enoch.../ ...Inimicorum suotum hodierna die liberare di[ ]neris. Per dominum nostrum ihesum christum amen""; ff. 17-26: Evangelist readings; ff. 26v-28v: blank; ff. 29-33v: Obsecro te; ff. 33v-38v: O intemerata; ff. 38v-41v: Piissime et redemptor; ff. 41v-43v: Pietate tua quaesumus; ff. 44-44v: blank; ff. 45-108v: Hours of the Virgin (Use undetermined, possibly Rome); ff. 109-132v: Penitential Psalms and Litany; ff. 132-135: St. Bernard's Meditation on the Seven Last Words; ff. 135v-142: prayers; f. 142v: blank; ff. 143-145: Salutations to the Virgin from the Apostles: ""Expertum est in vision florida quod sancti apostolic salutabant beatam virginem mariam.../Petrus/ Salva mater salvatoris/Que decorum deum paris.../...Omnes appostoli/Per te supplices exoramus/ Omnis ad te suspiramus/ Te videre valeamus/ In seculorum secula Amen.""; ff. 146-187: prayers to the Virgin, Angels, Archangels, et al.; ff. 187-190v: supplications of John the Evangelist and John the Baptist; ff. 191-193v: prayers to the Apostle; ff. 193v-197v: Hymn to St. Paul: ""O celestas dubitor aule/ Magne predicator paule...""; ff. 198-201: Prayers to the Virgin; ff. 201v-206v: ""Domine deus sabaoth""; ff. 207-207v: blank; ff. 208-219: Prayers to Christ; ff. 210- : Prayer of St. Thomas Aquinas: ""Concede mihi misericors.../ ...Tuis gaudiis frui per gloriam. Amen.""; f. 222v-four final flyleaves: originally blank, now with 16th- and 17th-century annotations concerning the de Villebuchot family.","152 x 112 (73 cx 65) mm.: Ms.|152 x 112 (73 cx 65) mm.: In Latin. Written in lettre batarde.|152 x 112 (73 cx 65) mm.: Numerous decorated initials (1 and 2 lines) in burnished gold and red and blue. Eight pages have a full floral border in burnished and flat gold and colors.|152 x 112 (73 cx 65) mm.: Later manuscript notes and inscriptions (16th and 17th centuries), including 8 pages at end, relating to the family of Jehan Baptiste de Villebuchot.|152 x 112 (73 cx 65) mm.: Binding: contemporary full brown calf (rebacked), with blind tooled strapwork border and a frame of a repeated stamp of the Virgin and child enclosing a pattern of ruled lozenges and small floral stamps.|152 x 112 (73 cx 65) mm.:|Contents: ff. i-iv verso: blank; ff. 1-12v: calendar (in French), Use of Cambrai; ff. 13-13v: blank;|ff. 14-16v: Prayer of the Duke of Burgundy: ""Oracio domini ducis Burgondie qui debet dici cothidie et est valde devote et pulcherrima et est scripta per manus domini de Burgondia sui primi philozophi et est talis/ Domine sancte pater omnipotens eterne deus qui enoch.../ ...Inimicorum suotum hodierna die liberare di[ ]neris. Per dominum nostrum ihesum christum amen"";|ff. 17-26: Evangelist readings; ff. 26v-28v: blank; ff. 29-33v: Obsecro te; ff. 33v-38v: O intemerata; ff. 38v-41v: Piissime et redemptor; ff. 41v-43v: Pietate tua quaesumus; ff. 44-44v: blank; ff. 45-108v: Hours of the Virgin (Use undetermined, possibly Rome); ff. 109-132v: Penitential Psalms and Litany; ff. 132-135: St. Bernard's Meditation on the Seven Last Words;|ff. 135v-142: prayers; f. 142v: blank; ff. 143-145: Salutations to the Virgin from the Apostles: ""Expertum est in vision florida quod sancti apostolic salutabant beatam virginem mariam.../Petrus/ Salva mater salvatoris/Que decorum deum paris.../...Omnes appostoli/Per te supplices exoramus/ Omnis ad te suspiramus/ Te videre valeamus/ In seculorum secula Amen."";|ff. 146-187: prayers to the Virgin, Angels, Archangels, et al.; ff. 187-190v: supplications of John the Evangelist and John the Baptist; ff. 191-193v: prayers to the Apostle; ff. 193v-197v: Hymn to St. Paul: ""O celestas dubitor aule/ Magne predicator paule...""; ff. 198-201: Prayers to the Virgin; ff. 201v-206v: ""Domine deus sabaoth""; ff. 207-207v: blank; ff. 208-219: Prayers to Christ;|ff. 210- : Prayer of St. Thomas Aquinas: ""Concede mihi misericors.../ ...Tuis gaudiis frui per gloriam. Amen.""; f. 222v-four final flyleaves: originally blank, now with 16th- and 17th-century annotations concerning the de Villebuchot family."
"3 strips, recto and verso: The three strips of parchment could derive from a single sheet of parchment, but they lack at least one more or possibly two more strips to complete the leaf.|3 strips, recto and verso: This appears to be a fuller version of the Liber glossarum as made available online by Anne Grondeux and Franck Cinato, eds., Liber glossarum digital, Paris, 2016 (http://liber-glossarum.huma-num.fr). The three strips here include words beginning with ""eri"" through ""ess"" (""Ericthonius"" through ""Essendum"", on the hair side), with ""ess"" through ""evo"" (""Esset co<?>"" through ""Evocatio o<?>"" on the flesh side), and with ""evo"" through ""exa"" (""Evolavit elap<?>"" through ""Examinatus diru<?>"" on the flesh side).|Incipit, 3 strips, recto and verso: Exanclandi, pera<gere>; Exanclare, exha<urire>; Examinatus diru<?>//.|Explicit, 3 strips, recto and verso: //Ericthonius, Rex atheniensium <?>; Ericthonius, primum quattuor equ<?>; Erilis Dominicus <?>.","3 strips, recto and verso: The three strips of parchment could derive from a single sheet of parchment, but they lack at least one more or possibly two more strips to complete the leaf.|3 strips, recto and verso: This appears to be a fuller version of the Liber glossarum as made available online by Anne Grondeux and Franck Cinato, eds., Liber glossarum digital, Paris, 2016 (http://liber-glossarum.huma-num.fr).|The three strips here include words beginning with ""eri"" through ""ess"" (""Ericthonius"" through ""Essendum"", on the hair side), with ""ess"" through ""evo"" (""Esset co<?>"" through ""Evocatio o<?>"" on the flesh side), and with ""evo"" through ""exa"" (""Evolavit elap<?>"" through ""Examinatus diru<?>"" on the flesh side).|Incipit, 3 strips, recto and verso: Exanclandi, pera<gere>; Exanclare, exha<urire>; Examinatus diru<?>//.|Explicit, 3 strips, recto and verso: //Ericthonius, Rex atheniensium <?>; Ericthonius, primum quattuor equ<?>; Erilis Dominicus <?>."
"According to a sixteenth-century Latin poem formerly pasted inside the manuscript’s upper cover, the volume was transferred in 1504 from the Benedictine abbey of St. Peter in Salzburg, to the Cistercian abbey of Raitenhaslach, Bavaria (founded 1143, suppressed in 1803); the Benedictine abbey of Seitenstetten, Lower Austria (founded 1112, still functioning); sold by the monks in about 1926, probably to Jacques Rosenthal of Munich, and taken apart, the leaves with miniatures being dispersed by Maggs; this leaf, Maggs cat. 512 (1928), no. 291; C. L. Ricketts; acquired by the Lilly Library with the Ricketts Collection in 1961.","According to a sixteenth-century Latin poem formerly pasted inside the manuscript’s upper cover, the volume was transferred in 1504 from the Benedictine abbey of St. Peter in Salzburg, to the Cistercian abbey of Raitenhaslach, Bavaria (founded 1143, suppressed in 1803);|the Benedictine abbey of Seitenstetten, Lower Austria (founded 1112, still functioning); sold by the monks in about 1926, probably to Jacques Rosenthal of Munich, and taken apart, the leaves with miniatures being dispersed by Maggs; this leaf, Maggs cat. 512 (1928), no. 291; C. L. Ricketts; acquired by the Lilly Library with the Ricketts Collection in 1961."
"Anne Holte (1733-1799), wife of Sir Charles Holte (1721-1782), with her signature on the flyleaf; armorial bookplate with the arms of her daughter Mary Elizabeth (1757-1819) impaling those of Mary’s husband, Abraham Bracebridge (c. 1747-1832), of Atherstone Hall, Warwickshire; note by their son, Charles Holte Bracebridge (1799-1872), formerly enclosed, ""This Missal dated 1640 has been preserved in my family up to this time"", Atherstone, 20 May 1871 (mistaking a number ‘1640’ on the front pastedown for a date); Leighton, cat. II, 3 (May 1921), no. 1726; C. L. Ricketts; acquired by the Lilly Library with the Ricketts Collection in 1961.","Anne Holte (1733-1799), wife of Sir Charles Holte (1721-1782), with her signature on the flyleaf; armorial bookplate with the arms of her daughter Mary Elizabeth (1757-1819) impaling those of Mary’s husband, Abraham Bracebridge (c. 1747-1832), of Atherstone Hall, Warwickshire;|note by their son, Charles Holte Bracebridge (1799-1872), formerly enclosed, ""This Missal dated 1640 has been preserved in my family up to this time"", Atherstone, 20 May 1871 (mistaking a number ‘1640’ on the front pastedown for a date); Leighton, cat. II, 3 (May 1921), no. 1726; C. L. Ricketts; acquired by the Lilly Library with the Ricketts Collection in 1961."
"Bibliography: Baroffio 1999, p. 25.|One cutting: The maestro's manuscripts are variously attributed to dates between about 1310 and the mid-century, complicated or confirmed by his work in a choirbook written for the Cistercian abbey of San Salvatore a Settimo, near Florence, dated 1315 but not necessarily illuminated immediately (Rome, Santa Croce in Gerusalemme, Cod. D). Maestro Daddesco and his workshop clearly specialised in choirbooks, many of which became casualties of knife-wielding collectors of miniatures during the nineteenth century. Excised initials intimately related to the Ricketts cutting are scattered around the world (Boskovits 1984, pp. 220–50, plates LXXXIV– XCIX; Kanter and Boehm 1994, pp. 106–15; Hindman 1997, pp. 156–61; Palladino 2003, pp. 44–45, no. 24; etc.). The Ricketts cutting is especially close to initials from an Antiphoner showing various saints, acquired in Florence in 1837 by James Dennistoun (1803–1855), lot 80 in Lord Clark’s sale, Sotheby’s, 3 July 1984 (afterwards BEL, cat. 2, 1998, pp. 12–15, and Zeileis 2004, pp. 188–89, no. 61), which Dennistoun said were cut from the choirbooks of Santa Maria del Fiore, the cathedral (or duomo) of Florence. The Maestro Daddesco was probably employed to illuminate new sets of choirbooks for the cathedral in the early 1330s, as part of the campaign of renewal following the translation of the relics of Saint Zenobius in 1331 (Tacconi 2000). Only four of the 23 choirbooks recorded in the possession of the cathedral sacristy in 1418 are still exant (ibid, p. 169, n. 29; cf. also Fabbri and Tacconi 1997, pp. 190–92, no. 66, and 216–17, no. 77). The Ricketts initial may be from one of the missing volumes.|One cutting: Latin.|Cutting: Large illuminated initial ‘S’.","Bibliography: Baroffio 1999, p. 25.|One cutting: The maestro's manuscripts are variously attributed to dates between about 1310 and the mid-century, complicated or confirmed by his work in a choirbook written for the Cistercian abbey of San Salvatore a Settimo, near Florence, dated 1315 but not necessarily illuminated immediately (Rome, Santa Croce in Gerusalemme, Cod. D).|Maestro Daddesco and his workshop clearly specialised in choirbooks, many of which became casualties of knife-wielding collectors of miniatures during the nineteenth century.|Excised initials intimately related to the Ricketts cutting are scattered around the world (Boskovits 1984, pp. 220–50, plates LXXXIV– XCIX; Kanter and Boehm 1994, pp. 106–15; Hindman 1997, pp. 156–61; Palladino 2003, pp. 44–45, no. 24; etc.).|The Ricketts cutting is especially close to initials from an Antiphoner showing various saints, acquired in Florence in 1837 by James Dennistoun (1803–1855), lot 80 in Lord Clark’s sale, Sotheby’s, 3 July 1984 (afterwards BEL, cat. 2, 1998, pp. 12–15, and Zeileis 2004, pp. 188–89, no. 61),|{initials} which Dennistoun said were cut from the choirbooks of Santa Maria del Fiore, the cathedral (or duomo) of Florence. The Maestro Daddesco was probably employed to illuminate new sets of choirbooks for the cathedral in the early 1330s, as part of the campaign of renewal following the translation of the relics of Saint Zenobius in 1331 (Tacconi 2000).|Only four of the 23 choirbooks recorded in the possession of the cathedral sacristy in 1418 are still exant (ibid, p. 169, n. 29; cf. also Fabbri and Tacconi 1997, pp. 190–92, no. 66, and 216–17, no. 77). The Ricketts initial may be from one of the missing volumes.|One cutting: Latin.|Cutting: Large illuminated initial ‘S’."
"Bibliography: Bond and Faye, p. 303.|ff. 1-2v: Latin.|ff. 1-2v: Through the writ, Pacheco and Portocarrero, founders and supporters of Our Lady of the Sarral, are granted exclusive burial rights for themselves and their descendants in its chapel (with an exception only for King Henry IV), with perpetual daily masses to be said for their souls and with an anniversary service to be observed on the day of St. James. Modern abstract in Spanish is attached.|Explicit, ff. 1-2v: The General of the Order of St. Hieronimus in the Monastery of St. Bartholomew of Lugrana confirms a writ of 2 December made by monks of Our Lady of the Sarral, outside Segovia, involving their patrons Don Juan Pacheco and spouse Dona Maria Portocarrero.|Docket: The General of the Order of St. Hieronimus in the Monastery of St. Bartholomew of Lugrana confirms a writ of 2 December made by monks of Our Lady of the Sarral, outside Segovia, involving their patrons Don Juan Pacheco and spouse Dona Maria Portocarrero.","Bibliography: Bond and Faye, p. 303.|ff. 1-2v: Latin.|ff. 1-2v: Through the writ, Pacheco and Portocarrero, founders and supporters of Our Lady of the Sarral, are granted exclusive burial rights for themselves and their descendants in its chapel (with an exception only for King Henry IV), with perpetual daily masses to be said for their souls and with an anniversary service to be observed on the day of St. James.|Modern abstract in Spanish is attached.|Explicit, ff. 1-2v: The General of the Order of St. Hieronimus in the Monastery of St. Bartholomew of Lugrana confirms a writ of 2 December made by monks of Our Lady of the Sarral, outside Segovia, involving their patrons Don Juan Pacheco and spouse Dona Maria Portocarrero.|Docket: The General of the Order of St. Hieronimus in the Monastery of St. Bartholomew of Lugrana confirms a writ of 2 December made by monks of Our Lady of the Sarral, outside Segovia, involving their patrons Don Juan Pacheco and spouse Dona Maria Portocarrero."
"Bibliography: Cockerell 1908, p. 119, no. 244; de Ricci 1935, p. 637; Lievens 1963, pp. 50–51; Marrow 1979, p. 226, no. 19; Broekhuijsen and Korteweg 1989, p. 66; Defoer et al. 1989, p. 290; Broekhuijsen 1991, passim; Kidd 2001, p. 44; Broekhuijsen 2009, pp. 10–13, 35, 38, 50, 51, 55, 59, 68, 71 and 75, and pp. 88–90, no. 3.|ff. 150: A second artist in the workshop painted the scenes of the acts of mercy on fols. 85v, 87v, 91v and 97r. The hand of this second painter is also found in Cambridge, Fitzwilliam Museum, MS 146. Bezborodko Master often copied compositions from engravings; the miniature of the Adoration of the Magi on fol. 31r is taken almost exactly from the print by Israhel van Mekenem the Younger, who worked principally in Bocholt, in the northern Rhineland near the Dutch border (Broekhuijsen 2009, p. 375, fig. 70).|ff. 150: Latin.|ff. 1r-148r: Use of Utrecht. The manuscript here comprises: a Calendar, of the Use of Utrecht (fol. 1r); the Hours of the Virgin, Windesheim Use (fol. 12r); the Hours of the Cross (fol. 42r); the Hours of the Eternal Wisdom (fol. 62r); the Hours of the Holy Ghost (fol. 80r); the Penitential Psalms (fol. 100r) and the Litany; the Verses of Saint Gregory (fol. 114r), a prayer to the Virgin, O vrouwe der ewiger glorien(fol. 115r) and Suffrages to Saints Michael (fol. 115v), Peter, John the Evangelist, Anthony, Sebastian, Katherine and Barbara; and the Office of the Dead (fol. 121r), all ending on fol. 148r, in vreden amen, 1491.","Bibliography: Cockerell 1908, p. 119, no. 244; de Ricci 1935, p. 637; Lievens 1963, pp. 50–51; Marrow 1979, p. 226, no. 19; Broekhuijsen and Korteweg 1989, p. 66; Defoer et al. 1989, p. 290; Broekhuijsen 1991, passim; Kidd 2001, p. 44; Broekhuijsen 2009, pp. 10–13, 35, 38, 50, 51, 55, 59, 68, 71 and 75, and pp. 88–90, no. 3.|ff. 150: A second artist in the workshop painted the scenes of the acts of mercy on fols. 85v, 87v, 91v and 97r. The hand of this second painter is also found in Cambridge, Fitzwilliam Museum, MS 146. Bezborodko Master often copied compositions from engravings;|the miniature of the Adoration of the Magi on fol. 31r is taken almost exactly from the print by Israhel van Mekenem the Younger, who worked principally in Bocholt, in the northern Rhineland near the Dutch border (Broekhuijsen 2009, p. 375, fig. 70).|ff. 150: Latin.|ff. 1r-148r: Use of Utrecht. The manuscript here comprises: a Calendar, of the Use of Utrecht (fol. 1r); the Hours of the Virgin, Windesheim Use (fol. 12r); the Hours of the Cross (fol. 42r); the Hours of the Eternal Wisdom (fol. 62r); the Hours of the Holy Ghost (fol. 80r); the Penitential Psalms (fol. 100r) and the Litany;|the Verses of Saint Gregory (fol. 114r), a prayer to the Virgin, O vrouwe der ewiger glorien(fol. 115r) and Suffrages to Saints Michael (fol. 115v), Peter, John the Evangelist, Anthony, Sebastian, Katherine and Barbara; and the Office of the Dead (fol. 121r), all ending on fol. 148r, in vreden amen, 1491."
"Bibliography: De Ricci 1935, p. 625; Krämer 1989, p. 261.|ff. 1-69: A sixteenth-century note on fol. 22v says, hoc festum est in ecclesia chathedrali institutum plenum which confirms that it was probably in use in Freising cathedral after the death of Bishop von der Pflaz in 1541.|ff. 1-69: Latin.|ff.1-116v: Some sixteenth century marginal notes.|ff.1-116v: Latin.|ff. 1-69: Use of Freising; In its original sequence it comprises: a Calendar (volume 1, fol. 2r), including in red the dedication of the church (2 May) and Saint Corbinianus (8 September, and his translation, 20 November); the Temporal, winter portion, Pars Hyemalis de tempore secundum Breviarium chori ecclesie & frisingensis,from the first Sunday in Advent (volume 2, fol. 1r) to the first Sunday after the Ascension; the Sanctoral isecundum rubricam et morem ecclesie & frisingensis from Saint Andrew, 30 November (volume 1, fol. 11r) to Saint Urban, 25 May; the dedication of a church (fol. 47r); and the Common of Saints.|ff. 1r-116v: Use of Freising; Note that Vol 2, 1r-166v originally was part of Vol 1, coming after the Calendar on 9v and before 10r. In its original sequence the Diurnal comprises: a Calendar (volume 1, fol. 2r), including in red the dedication of the church (2 May) and Saint Corbinianus (8 September, and his translation, 20 November); the Temporal, winter portion, Pars Hyemalis de tempore secundum Breviarium chori ecclesie & frisingensis,from the first Sunday in Advent (volume 2, fol. 1r) to the first Sunday after the Ascension; the Sanctoral isecundum rubricam et morem ecclesie & frisingensis from Saint Andrew, 30 November (volume 1, fol. 11r) to Saint Urban, 25 May; the dedication of a church (fol. 47r); and the Common of Saints.","Bibliography: De Ricci 1935, p. 625; Krämer 1989, p. 261.|ff. 1-69: A sixteenth-century note on fol. 22v says, hoc festum est in ecclesia chathedrali institutum plenum which confirms that it was probably in use in Freising cathedral after the death of Bishop von der Pflaz in 1541.|ff. 1-69: Latin.|ff.1-116v: Some sixteenth century marginal notes.|ff.1-116v: Latin.|ff. 1-69: Use of Freising; In its original sequence it comprises: a Calendar (volume 1, fol. 2r), including in red the dedication of the church (2 May) and Saint Corbinianus (8 September, and his translation, 20 November);|the Temporal, winter portion, Pars Hyemalis de tempore secundum Breviarium chori ecclesie & frisingensis,from the first Sunday in Advent (volume 2, fol. 1r) to the first Sunday after the Ascension;|the Sanctoral isecundum rubricam et morem ecclesie & frisingensis from Saint Andrew, 30 November (volume 1, fol. 11r) to Saint Urban, 25 May; the dedication of a church (fol. 47r); and the Common of Saints.|ff. 1r-116v: Use of Freising; Note that Vol 2, 1r-166v originally was part of Vol 1, coming after the Calendar on 9v and before 10r. In its original sequence the Diurnal comprises: a Calendar (volume 1, fol. 2r), including in red the dedication of the church (2 May) and Saint Corbinianus (8 September, and his translation, 20 November);|the Temporal, winter portion, Pars Hyemalis de tempore secundum Breviarium chori ecclesie & frisingensis,from the first Sunday in Advent (volume 2, fol. 1r) to the first Sunday after the Ascension;|the Sanctoral isecundum rubricam et morem ecclesie & frisingensis from Saint Andrew, 30 November (volume 1, fol. 11r) to Saint Urban, 25 May; the dedication of a church (fol. 47r); and the Common of Saints."
"Bibliography: De Ricci 1935, p. 646; Goy 1976, p. 216, no. 25; Alexander c. 2010, pp. 64-65.|f. 1r: Latin.|ff. 1v-48v: Latin.|ff. 45v-48v: Latin.|f. 1r: On the front flyleaf, fol. 1r, is an alphabet ‘a’-‘z’ with ‘&’, ‘÷’ and ‘amen’.|ff. 1v-45r: The extant copies are listed in Goy 1976, pp. 212-45. The manuscript opens on fol. 2r, (Stegmüller no. 3791; Migne, PL 176: 617), with the heading on fol. 1v, continuing with books II (fol. 10r), III (fol. 16r) and IV (fol. 25r), followed by the De arca Noe mystica as book V on fol. 34v, Primum in planitie . . . (Stegmüller no. 3792; Migne, PL 176: 663), all ending with explicit on fol. 45r (ibid, 704).|Incipit, ff. 1v-45r: provocet, Sit dominus benedictus per cuncta seculorum secula, amen, Explicit.|Explicit, ff. 1v-45r: Cum sederem aliquando in conventu.|f. 45v: Migne, PL 186: 1052; reporting and refuting Arnolph, archdeacon of Seez, about Hugh's views on thehuman knowledge of Christ.|Explicit, f. 45v: Hughoni sancti victoris priori, G salutem, dominus arnulfus sagiensis.|f. 46r-v: d’Archéry 1723, III, p. 520, esp. I-II.|Explicit, f. 46r-v: Magistro Gulielmo . . . Dixisti quod.|f. 47r: d’Archéry 1723, III, p. 520, esp. I-II.|Explicit, f. 47r: Gualterus omnibus in fide catholica.|Incipit, f. 47r-48v: non esse creatorem aut eternum.|Explicit, f. 47r-48v: Cum genus humanum in utraque natura.","Bibliography: De Ricci 1935, p. 646; Goy 1976, p. 216, no. 25; Alexander c. 2010, pp. 64-65.|f. 1r: Latin.|ff. 1v-48v: Latin.|ff. 45v-48v: Latin.|f. 1r: On the front flyleaf, fol. 1r, is an alphabet ‘a’-‘z’ with ‘&’, ‘÷’ and ‘amen’.|ff. 1v-45r: The extant copies are listed in Goy 1976, pp. 212-45.|The manuscript opens on fol. 2r, (Stegmüller no. 3791; Migne, PL 176: 617), with the heading on fol. 1v, continuing with books II (fol. 10r), III (fol. 16r) and IV (fol. 25r), followed by the De arca Noe mystica as book V on fol. 34v, Primum in planitie . . . (Stegmüller no. 3792; Migne, PL 176: 663), all ending with explicit on fol. 45r (ibid, 704).|Incipit, ff. 1v-45r: provocet, Sit dominus benedictus per cuncta seculorum secula, amen, Explicit.|Explicit, ff. 1v-45r: Cum sederem aliquando in conventu.|f. 45v: Migne, PL 186: 1052; reporting and refuting Arnolph, archdeacon of Seez, about Hugh's views on thehuman knowledge of Christ.|Explicit, f. 45v: Hughoni sancti victoris priori, G salutem, dominus arnulfus sagiensis.|f. 46r-v: d’Archéry 1723, III, p. 520, esp. I-II.|Explicit, f. 46r-v: Magistro Gulielmo . . . Dixisti quod.|f. 47r: d’Archéry 1723, III, p. 520, esp. I-II.|Explicit, f. 47r: Gualterus omnibus in fide catholica.|Incipit, f. 47r-48v: non esse creatorem aut eternum.|Explicit, f. 47r-48v: Cum genus humanum in utraque natura."
"Bibliography: De Ricci 1935, p. 649.|One leaf: The leaf shows a style of script and illumination which is partly French, partly Italian. The lozenges in the backgrounds include multiple repetitions of the French fleur-de-lys. Gold is burnished to a mirror finish. The manuscript is probably southern French. Comparable texts of canon law were illuminated in Parisian style in Toulouse (cf. Avril 1998, p. 334, no. 233; L’Engle and Gibbs 2001, pp. 153–55, no. 9).|One leaf: Latin.|One leaf: The margins are extensively glossed by a medieval reader, employing a repertoire of signes-de-renvoi to link the annotations to the text.|Explicit, One leaf: De francia quidam. . . propositum gerens in mente.","Bibliography: De Ricci 1935, p. 649.|One leaf: The leaf shows a style of script and illumination which is partly French, partly Italian. The lozenges in the backgrounds include multiple repetitions of the French fleur-de-lys. Gold is burnished to a mirror finish. The manuscript is probably southern French.|Comparable texts of canon law were illuminated in Parisian style in Toulouse (cf. Avril 1998, p. 334, no. 233; L’Engle and Gibbs 2001, pp. 153–55, no. 9).|One leaf: Latin.|One leaf: The margins are extensively glossed by a medieval reader, employing a repertoire of signes-de-renvoi to link the annotations to the text.|Explicit, One leaf: De francia quidam. . . propositum gerens in mente."
