subject_as_recorded,subfield_codes,vocab,source_authority_uri,authorized_label,structured_value,ds_qid
A topical subject,"","","",Topical auth label,http://id.worldcat.org/fast/topical_subject,
Accounting--Italy--16th century,a--z--y,0,,Accounting;Italy;Sixteenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1119851,
Advaita--Early works to 1800,a--x,0,,Advaita;Early works,http://id.worldcat.org/fast/797410;http://id.worldcat.org/fast/1411636,
Aghorīs,a,fast,http://id.worldcat.org/fast/800288,Aghorīs,http://id.worldcat.org/fast/800288,
Armorial,,openn-keywords,,armorials (reference sources),http://vocab.getty.edu/aat/300255028,
"Astronomy, Medieval--Early works to 1800.",a--v,0,,"Astronomy, Medieval;Early works",http://id.worldcat.org/fast/819781;http://id.worldcat.org/fast/1411636,
Austrian,,openn-keywords,,Austrian,http://vocab.getty.edu/aat/300111153,
Bishops--Temporal power--Early works to 1800,a--x--v,0,,Bishops--Temporal power;Early works,http://id.worldcat.org/fast/833391;http://id.worldcat.org/fast/1411636,
Canon law.,a,0,http://id.loc.gov/authorities/subjects/sh85019646,Canon law,http://id.worldcat.org/fast/845910,
"China--History--Yuan dynasty, 1260-1368",a--x--y,0,http://id.loc.gov/authorities/subjects/sh85024071,China;History,http://id.worldcat.org/fast/1206073;http://id.worldcat.org/fast/958235,
Christian hagiography--Early works to 1800,a--v,0,,Christian hagiography;Early works,http://id.worldcat.org/fast/859164;http://id.worldcat.org/fast/1411636,
Christianity and other religions,a,fast,http://id.worldcat.org/fast/859685,Christianity and other religions,http://id.worldcat.org/fast/859685,
"Christian literature, Armenian--Manuscripts",a--v,0,,"Christian literature, Armenian;Manuscripts",http://id.worldcat.org/fast/859247;http://id.worldcat.org/fast/1424060,
Christian philosophy,a,0,http://id.loc.gov/authorities/subjects/sh2006001357,Christian philosophy,http://id.worldcat.org/fast/1746483,
