row_index,Holding Institution,Source Type,Holding Institution Identifier,Shelfmark,Link to Institutional Record,IIIF Manifest,Production Place(s),Date Description,Production Date START,Production Date END,Dated,Uniform Title(s),Title(s),Genre 1,Genre 2,Genre 3,AAT Term(s),LCGFT Term(s),FAST Term(s),RBMSCV Term(s),LoBT Term(s),Named Subject(s): Personal,Named Subject(s): Corporate,Named Subject(s): Event,Named Subject(s): Uniform Title,Subject(s): Topical,Subject(s): Geographical,Subject(s): Chronological,Subject Vocabulary,Author Name(s),Artist Name(s),Scribe Name(s),Former Owner Name(s),Language(s),Materials Description,Material 1,Material 2,Material 3,Dimensions,Extent,Layout,Script,Decoration,Binding,Physical Description Miscellaneous,Provenance Notes,Note 1,Note 2,Acknowledgements
EXAMPLE,Digital Scriptorium,manual,90005050022111,Ms. Codex 34,www.digital-scriptorium.org/mms000001,https://iiif.archivelab.org/iiif/mms000001/manifest.json,England|France,"second half of the 15th century. April 4th, 1472",1472,1472,TRUE,Chronicles of France,Chroniques et histoires de France,chronicles [AAT 300026361],registers (lists) [AAT 300027168],,histories (literary works)|genealogies (histories),"(if used, for LC-derived terms: separate by pipe)","(if used, for FAST-derived terms: separate by pipe)","(if used, for RBMSCV-derived terms: separate by pipe)","(if used, for LOBT-derived terms: separate by pipe)","Charlemagne, Emperor, 742-814",,,,Nobility|Kings and rulers,France,,fast,Jacques de Reims,,,"Philipps, Thomas, Sir, 1792-1872|University of Pennsylvania. Libraries",French|English,"paper and parchment, illustrations",parchment [AAT 300011851],paper [AAT 300014109],,200 x 300 mm.,fols. 110,"1 column, 35 lines.",Written in a notarial script in brown ink.,9-line capital [E],Modern green velvet,"e.g., colophons, watermarks","Originally given to United College by Martha C. Collector, ca. 1925",,,Text identified by Dr. Keane Eise; physical description by Marc N. Coding
1,University of Vermont,manual,,Ms. Leaf 22 (1 and 2),,,,ca. 1190,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,310 x 214 mm.,fols. 2,,,,,,,,,
2,University of Vermont,manual,,Ms. Leaf 23 (1),,,,ca. 1275,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,279 x 194 mm.,fols. 1,,,,,,,,,
3,University of Vermont,manual,,Ms. Leaf 23 (2),,,,ca. 1275,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,266 x 101 mm.,fols. 1,,,,,,,,,
4,University of Vermont,manual,,Ms. Leaf 24,,,,ca. 1300,,,FALSE,,Codex Justinianus,,,,,,,,,,,,,,,,,Justinian,,,,,,,,,320 x 212 mm.,fols. 1,,,,,recovered binder's waste,,,,
5,University of Vermont,manual,,Ms. Leaf 25,,,,ca. 1225,,,FALSE,,Sentences of Peter Lombard,,,,,,,,,,,,,,,,,Petrus Lombardus,,,,,,,,,235 x 345 mm.,fols. 2,,,,,"bifolium, recovered binder's waste",,,,
6,University of Vermont,manual,,Ms. Leaf 26,,,,ca. 1475,,,FALSE,,Andria,,,,,,,,,,,,,,,,,Terence,,,,,,,,,210 x 180 mm.,fols. 2,,,,,"bifolium, recovered binder's waste",,,,
7,University of Vermont,manual,,Ms. Leaf 27,,,,"November 4, 1366",1366,1366,TRUE,,,,,,,,,,,,,,,,"Badia Polesine, Italy",,,Antonio dei Pigolati,,,,,,,,,97 x 174 mm.,fols 1,,,,,,,,,
8,,manual,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,manual,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,manual,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,manual,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,manual,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,manual,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,manual,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,manual,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,manual,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,manual,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,manual,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,manual,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,manual,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,manual,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,manual,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,manual,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,manual,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,manual,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,manual,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,manual,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,manual,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,manual,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,manual,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,manual,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,manual,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,manual,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,manual,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,manual,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,manual,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,manual,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,manual,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,manual,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
